epsilon,frame_errors,decoded_words,frame_error_rate,runtime_seconds
0.089999999999999997,351,673,0.52154531946508176,0.024508061000000001
0.080000000000000002,337,821,0.41047503045066991,0.016172730999999999
0.070000000000000007,330,1158,0.28497409326424872,0.018587108000000001
0.059999999999999998,314,1863,0.16854535695115405,0.023597322
0.050000000000000003,322,3583,0.08986882500697739,0.035445487999999997
0.040000000000000001,307,7543,0.040699986742675331,0.059239921000000001
0.029999999999999999,309,25822,0.01196654015955387,0.16809803400000001
0.02,303,115501,0.0026233539103557545,0.65579159499999995
0.01,300,1041011,0.00028818139289594444,4.679378872
0.0090000000000000011,300,1232008,0.00024350491230576424,5.3170908890000002
0.0080000000000000002,300,1629495,0.0001841061187668572,6.6789406509999996
0.0070000000000000001,300,1984986,0.00015113456719593991,7.668807836
0.0060000000000000001,301,2055700,0.00014642214330884857,7.4169746400000003
0.0050000000000000001,300,2468078,0.00012155207412407549,8.1911071470000003
0.0040000000000000001,300,3634573,8.2540645077152115e-05,10.869976183
0.0030000000000000001,300,4252747,7.0542639851371366e-05,11.183940416
0.002,300,4877181,6.1510942489114096e-05,10.883347536
0.001,300,6986742,4.2938468316133616e-05,12.436591744999999
